format=rog5-local-image-direct-extents-v1
image_size=17179869184
image_sha256=533973be0e0ca76c5db8645fdef9aeb64d20b8c9c98b70124a2561700f119153
block_size=4096
merge_gap_max=1048576
extent_count=37
data_bytes=1850654720
index	offset_blocks	block_count
1	0	1060
2	9251	23520
3	33795	31710
4	98304	3
5	163840	3
6	229376	3
7	294912	3
8	524288	33
9	532512	4
10	819200	3
11	884736	3
12	1048576	33
13	1056800	24537
14	1245184	1122
15	1246720	3439
16	1251328	2048
17	1277952	20636
18	1298944	10427
19	1309696	45205
20	1355264	217633
21	1581088	3
22	1605632	3
23	2097152	75
24	2105376	196
25	2129920	32768
26	2621440	96
27	2629664	389
28	2654208	3
29	2655235	477
30	3145728	2169
31	3153952	1826
32	3178496	6736
33	3185664	25600
34	3670016	33
35	3678240	2
36	4096000	3
37	4194288	16
