package	version
adduser	3.137ubuntu1
apt	2.8.3
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bc	1.07.1-3ubuntu4
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
bison	2:3.8.2+dfsg-1build2
bsdutils	1:2.39.3-9ubuntu6.5
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
ccache	4.9.1-1
clang	1:18.0-59~exp2
clang-18	1:18.1.3-1ubuntu1
coreutils	9.4-3ubuntu6.2
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1
debianutils	5.17build1
device-tree-compiler	1.7.0-2build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dwarves	1.25-0ubuntu3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1
flex	2.6.4-8.2build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1
iproute2	6.1.0-1ubuntu6.4
keyboxd	2.4.4-2ubuntu17.4
kmod	31+20240202-2ubuntu7.2
libacl1:amd64	2.3.2-1build1.1
libapt-pkg6.0t64:amd64	2.8.3
libarchive-tools	3.7.2-2ubuntu0.8
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libassuan0:amd64	2.5.6-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libbinutils:amd64	2.42-4ubuntu2.10
libblkid1:amd64	2.39.3-9ubuntu6.5
libbpf1:amd64	1:1.3.0-2build2
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.8
libc-dev-bin	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8
libcap-ng0:amd64	0.8.4-2build2
libcap2-bin	1:2.66-5ubuntu2.4
libcap2:amd64	1:2.66-5ubuntu2.4
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libclang-common-18-dev:amd64	1:18.1.3-1ubuntu1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.11
libcurl4t64:amd64	8.5.0-2ubuntu10.11
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdebconfclient0:amd64	0.271ubuntu3
libdpkg-perl	1.22.6ubuntu6.6
libdw1t64:amd64	0.190-1.1ubuntu0.1
libedit2:amd64	3.1-20230828-1build1
libelf-dev:amd64	0.190-1.1ubuntu0.1
libelf1t64:amd64	0.190-1.1ubuntu0.1
liberror-perl	0.17029-2
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfdt1:amd64	1.7.0-2build1
libffi8:amd64	3.4.6-1build1
libgc1:amd64	1:8.2.6-1build1
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
